Hotel Name,Room Type,Single Bed,Double Bed,Price
Best Western Plus Pearl Creek,Standard Room,Yes,No,"₹ 7,387"
Vida Creek Harbour,City View Deluxe Room King,No,No,"₹ 13,476"
Mercure Dubai Barsha Heights Hotel Suites,"Deluxe King Suite with Skyline View, Free Shuttle Beach Transfer, Next to Metro Station",No,Yes,"₹ 14,133"
Claridge Hotel,Deluxe Twin Room,Yes,No,"₹ 5,436"
The St Regis Downtown Dubai,"Superior Double Room with Two Double Beds, Partial Burj Khalifa or Downtown View including Signature St. Regis Butler Service",No,Yes,"₹ 26,953"
Riviera Hotel,"Standard Room Souk View, Balcony - Free Beach Transfer, 25% off Food & Beverage",Yes,Yes,"₹ 6,099"
Rose Rayhaan by Rotana - Dubai,Guest Room – King or Twin Beds,Yes,Yes,"₹ 14,454"
Grand Plaza Mövenpick,Superior King Room,No,Yes,"₹ 15,855"
Kingsgate Canal Hotel by Millennium,Standard Twin Room,Yes,No,"₹ 5,530"
Ibis World Trade Centre,Standard Double Room,No,Yes,"₹ 7,033"
Pullman Dubai Downtown,Superior King Room,No,Yes,"₹ 20,215"
The Muse,Deluxe Loft Studio,No,Yes,"₹ 15,288"
Dusit Thani Dubai,Deluxe Room,No,Yes,"₹ 19,365"
Palm Beach Hotel,Standard Double or Twin Room,No,Yes,"₹ 3,307"
Mercure Hotel Apartments Dubai Barsha Heights,"One Bedroom Apartment King with Free Shuttle Beach Transfer, Next to Metro Station",No,Yes,"₹ 14,473"
Royal Falcon Hotel,Standard Double or Twin Room,Yes,Yes,"₹ 4,502"
Hyatt Regency Dubai - Corniche,King Room,No,Yes,"₹ 17,275"
Lavender Hotel Deira,Standard Double Room,No,Yes,"₹ 6,552"
Five Jumeirah Village,Superior King Room with Balcony,No,Yes,"₹ 18,101"
Simba Hotel,Deluxe Room,No,Yes,"₹ 3,375"
Golden Tulip Deira Hotel,Superior Double or Twin Room,Yes,Yes,"₹ 4,447"
